标题,作者,出版社,出版时间,评分,纸质版定价
[丛书] 人工智能算法,人民邮电出版社,人民邮电出版社,共3册,暂无评分,2022年出版
人工智能（第4版） : 现代方法,[美] Stuart Russell,人民邮电出版社,2022-11,9.2,198.00元
走进人工智能,吴飞,高等教育出版社,2022-12-1,9.2,59.00
人工智能Sora：机遇·问题·未来,陈根 著,中国纺织出版社,2024-5,9.2,78
人工智能 (第4版) : 现代方法,[美] Stuart Russell,人民邮电出版社,2022-11,9.7,358.00元
智慧的疆界 : 从图灵机到人工智能,周志明,机械工业出版社,2018-1-1,9.1,56.9
人工智能——风险·回报·未来,陈根 著,中国纺织出版社有限公司,2024-4,9.0,89.8
给孩子的人工智能课,朱仪轩,中国妇女出版社,2024-8-18,9.5,59.8
我看见的世界 : 李飞飞自传,[美] 李飞飞,中信出版集团,2024-4,9.0,85.00元
人工的你 : 人工智能与心智的未来,[美] 苏珊•施耐德,湖南科学技术出版社,2022-5-1,9.0,48.00元
信息科技简史：从计算机到人工智能（绘本版）,人民邮电出版社,人民邮电出版社,2021-11,9.2,129
AI落地：让人工智能为你所用,王海屹,机械工业出版社,2024-2,8.5,79
人的消逝 : 从原子弹、互联网到人工智能,熊培云,浙江人民出版社,2024-12,8.2,88元
从智慧教室到未来教学:“人工智能+”推动干部培训创新发展,陈孟贤,中译出版社,2024-6,9.6,89.00元
人工智能（第3版）,[美] 史蒂芬·卢奇（Stephen Lucci）,人民邮电出版社,2023-11,8.9,119.00元
深度学习入门 : 基于Python的理论与实现,[日］斋藤康毅,人民邮电出版社,2018-7,9.5,59.00元
人工智能,姚期智,清华大学出版社,2022-8-1,8.4,88.00元
人工智能基础（高中版） : 高中版,汤晓鸥,华东师范大学出版社,2018-4-1,8.4,35.00元
人工智能 : 一种现代的方法,Stuart J. Russell,清华大学出版社,2011-7,9.2,158.00元
人工智能风云录,刘飞,电子工业出版社,2024-8-1,8.7,59.9
贝叶斯的博弈 : 数学、思维与人工智能,黄黎原（Lê Nguyên Hoang）,图灵｜人民邮电出版社,2021-3,8.3,109
给孩子讲人工智能,涂子沛,人民邮电出版社,2020-8,8.6,58.00元
人类心理3000年 : 从荷马史诗到人工智能,[美] 托马斯·哈代·黎黑,人民邮电出版社,2024-3,8.6,199.00元
人工智能影响经济增长的多渠道效应研究,黄志,四川大学出版社,2023-11-10,9.8,65.00元
人工智能极简史,张军平,张军平,湖南科技出版社,8.3,2023-10
人工智能 （第2版）,[美] 史蒂芬·卢奇（Stephen Lucci）,人民邮电出版社,2018-8-1,8.2,108
AIGC未来已来 : 迈向通用人工智能时代,翟尤,人民邮电出版社,2023-5,7.2,69.80元
人工智能的未来,Jeff Hawkins,陕西科学技术出版社,2006.1,8.9,18.5
给孩子的人工智能通识课,[日] 三津村直贵,海峡书局,2022-5,7.9,50.00元
生命3.0 : 人工智能时代，人类的进化与重生,[美] 迈克斯·泰格马克,浙江教育出版社,2018-6,8.3,99.90元
人工智能简史（第2版）,尼克（Nick）,人民邮电出版社,2021-1,6.5,79
技术之外 : 社会联结中的人工智能,[美]凯特·克劳福德(Kate Crawford),中国科学技术出版社,2024-3,8.4,69.00元
人工智能的底层逻辑,张长水,张长水,清华大学出版社,暂无评分,2024-10
情感机器 : 人类思维与人工智能的未来,[美] 马文•明斯基（Marvin Minsky）,浙江人民出版社,2016-1,7.5,99.90元
人工智能之不能,马兆远,中信出版集团,2020-3,7.1,58.00元
艺术、人工智能与创造力 : 基础与批判文献,魏阶平,常旖轩,刘晨,暂无评分,2024-10-15
人工智能如何玩游戏,[美] 朱利安·图吉利斯,民主与建设出版社,2021-12,7.4,45.00元
漫画图解人工智能,[法] 尼古拉·萨博雷,北京联合出版公司,2021-6,6.4,52.00元
图文小百科：人工智能,[法] 让-诺埃尔·拉法格 编,中国友谊出版公司,2022-12,7.3,48.00元
和孩子聊聊人工智能,［西］谜题协会（CosiCosa）著,四川美术出版社,2023-12,暂无评分,68.00元
人工智能简史,尼克,人民邮电出版社,2017-12,7.2,CNY 49.00
人工智能全传,[英]迈克尔·伍尔德里奇,浙江科学技术出版社,2021-3-25,8.0,78.00元
人工智能的精神分析,[英] 伊莎贝尔·米拉,上海人民出版社,2024-10,7.3,52
人工智能时代与人类未来,[美] 亨利·基辛格,中信出版社,2023-5,7.1,88.00元
教育新语 : 人工智能时代教什么，怎么学,[美]萨尔曼·可汗,中信出版集团,2024-7,6.7,69.00元
游戏人工智能,Steve Rabin,电子工业出版社,2017-9,9.6,129.00
人工智能哲学十五讲,徐英瑾,北京大学出版社,2021-7,8.1,65
人工智能哲学,玛格丽特·博登,上海译文出版社,2001-11,8.8,23.6
如何做不被人工智能取代的人,[日] 新井纪子,[日] 新井纪子,郎旭冉,暂无评分,民主与建设出版社
人工智能的神话或悲歌,赵汀阳,商务印书馆,2022-9,7.4,68.00元
人工智能的政治哲学,[奥] 马克·考科尔伯格,上海人民出版社,2024-6,暂无评分,75.00
人工智能算法图解,[南非] 里沙尔·赫班斯(Rishal Hurbans) 著,清华大学出版社,2022-1,8.7,88
十堂极简人工智能课,[英]彼得·J.本特利,译林出版社,2023-5,7.4,49.00元
人工智能商,[美] 尼克‧波尔森,民主与建设出版社,2020-10,8.3,58.00元
人工智能 : 国家人工智能战略行动抓手,腾讯研究院,中国人民大学出版社,2017-10-25,6.9,68.00元
视读人工智能,亨利.布莱顿,安徽文艺出版社,2007-1,7.5,16.80元
人工智能科学,赫伯特·A.西蒙,中国人民大学出版社,2023-3,7.7,88元
人工智能真的来了,杨澜,江苏凤凰文艺出版社,2017-9,6.4,48元
当人工智能考上名校,[日] 新井纪子,民主与建设出版社,2020-9,8.1,39.80元
大模型时代 : ChatGPT开启通用人工智能浪潮,龙志勇,中译出版社（原中国对外翻译出版公司）,2023-5,7.7,88.00元
生成式人工智能 : AIGC的逻辑与应用,丁磊,中信出版社,2023-5,6.4,69
终极算法 : 机器学习和人工智能如何重塑世界,[美] 佩德罗·多明戈斯,中信出版社,2017-1-1,7.0,68.00元
科学的极致 : 漫谈人工智能,集智俱乐部,人民邮电出版社,2015-7,8.0,49.00元
图解人工智能,[日] 多田智史,人民邮电出版社,2021-3-29,5.9,79.00 元
人工智能伦理,于江生,于江生,清华大学出版社,7.0,2022-1-1
工业人工智能,〔美〕李杰（Jay Lee）,上海交通大学出版社,2019-6,7.5,68.00
人工智能伦理学,[奥]马克·考科尔伯格,上海交通大学出版社,2023-3,7.0,58.00
游戏开发中的人工智能,David M.Bourg,东南大学出版社,2006,7.9,48.00元
解构大语言模型：从线性回归到通用人工智能,唐亘,电子工业出版社,2024-5,暂无评分,159
人工智能 : 人工智能·智能系统指南（原书第2版）,尼格尼维斯基,机械工业出版社,2012-8,8.5,49.00元
金融人工智能 : 用Python实现AI量化交易,[德] 伊夫·希尔皮斯科（Yves Hilpisch）,人民邮电出版社,2022-8-15,7.3,129.80元
理解信念：人工智能的科学理解 : 人工智能的科学理解,Nils J. Nilsso,机械工业出版社,2017-5-8,7.4,CNY 39.00
心智社会 : 从细胞到人工智能，人类思维的优雅解读,[美] 马文·明斯基,机械工业出版社,2016-12,7.8,99.00元
人工智能会抢哪些工作,[英]理查德.萨斯坎德,浙江大学出版社,2018-4,6.6,68.00元
人工智能 : 一种现代方法：第2版,Peter Norvig,人民邮电出版社,2004-6,8.8,85.00元
人工智能与游戏,乔治斯·N·扬纳卡基斯【希】 朱利安·图吉利斯【美】,机械工业出版社,2020-1,7.5,89.00元
人工智能（英文版）,Nils J.Nilsson,机械工业出版社,2003-12-1,7.1,38.0
人工智能导论,林尧瑞，马少平编著,清华大学出版社,2000-01,暂无评分,16.0
人工智能时代的教育革命,王作冰,北京联合出版公司,2017-5-18,6.2,29.80元
Python 3破冰人工智能 从入门到实战 : 3破冰人工智能,黄海涛,人民邮电出版社,2019-5,8.9,59元
ChatGPT: 读懂人工智能新纪元 : 读懂人工智能新纪元,陈根,未知,陈根,暂无评分,电子工业出版社
爱丽丝计划 : 人工智能的现在与未来,[日] 谷口忠大,人民文学出版社,2023-4,7.7,58
人工智能(上册),陆汝钤,科学出版,2002-2,暂无评分,18.00元
人工智能 : 大脑的镜子,哈里·亨德森,上海科学技术文献出版社,2008-1,7.8,18.00元
人工智能通识课,[意] 皮埃罗·斯加鲁菲（Piero Scaruffi）,人民邮电出版社,2020-6-1,4.7,99.00元
游戏人工智能编程案例精粹,巴克兰德 (Mat Buckland),人民邮电出版社,2008年06月,8.9,55.00元
人工智能数学基础,唐宇迪,北京大学出版社,2020-10-1,6.6,92.20元
人工智能 : 智能系统指南,耐格纳威斯基,机械工业出版社,2007-4,7.9,36.00元
人工智能 (高中版),姚期智,清华大学出版社,2021-5,暂无评分,69.00元
意向性与人工智能,高新民,中国社会科学出版社,2014-12,暂无评分,116.00元
游戏编程中的人工智能技术,布克兰德,清华大学出版社,2006-5,8.2,39.0
你一定爱读的人工智能简史,【日】山本一成,北京日报出版社,2019-5,6.9,45.00
AI：人工智能的本质与未来,[英]玛格丽特·博登（Margaret A. Boden）,中国人民大学出版社,2017-6,5.9,55
人工智能：驯服赛维坦,高奇琦,上海交通大学出版社,2018-3-1,7.8,58.00元
我是阿尔法 : 论法和人工智能,冯象,中国政法大学出版社,2018-10,8.2,59.00元
人工智能安全,方滨兴,电子工业出版社,2020-6-1,暂无评分,99
人工智能 下册,陆汝钤,科学出版社,1996-09-01,暂无评分,34
携程人工智能实践,携程技术团队,电子工业出版社,2020-4,6.8,109
人工智能与法律的对话,彭诚信 主编,上海人民出版社,2018-8-1,7.0,CNY 88.00
区块链+人工智能,曲强博,人民邮电出版社,2019-4,暂无评分,49.00元
人工智能不会做什么,[日]羽生善治,四川人民出版社,2019-1,6.1,49.00
